Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 43752.065999 .053569 1.028927 43751.037071 0 0 39.000000 29.000000 17.000000 13.000000 2.000000 0 56.786552 1.790431 0 .201600 54.794521 0 
0.1 Tovs 44337.337824 .158092 3.105724 44334.232099 0 0 45.000000 27.000000 10.000000 12.000000 6.000000 0 56.786216 1.790095 0 .201600 54.794521 0 
0.15 Tovs 44577.930594 .254287 5.020596 44572.909998 0 0 43.000000 28.000000 14.000000 10.000000 5.000000 0 56.820526 1.824406 0 .201600 54.794521 0 
0.2 Tovs 43799.478280 .333911 7.326764 43792.151516 0 0 45.000000 30.000000 13.000000 10.000000 2.000000 0 56.822589 1.826469 0 .201600 54.794521 0 
0.25 Tovs 43302.096600 .478446 9.165309 43292.931291 0 0 44.000000 24.000000 13.000000 15.000000 4.000000 0 56.785984 1.789864 0 .201600 54.794521 0 
0.3 Tovs 44701.964514 .533405 10.440331 44691.524183 0 0 43.000000 29.000000 15.000000 10.000000 3.000000 0 56.861954 1.865834 0 .201600 54.794521 0 
0.35 Tovs 44663.482032 .657364 12.789666 44650.692366 0 0 40.000000 34.000000 14.000000 8.000000 4.000000 0 56.823893 1.827772 0 .201600 54.794521 0 
0.4 Tovs 44390.294878 .706853 15.775212 44374.519667 0 0 47.000000 28.000000 16.000000 7.000000 2.000000 0 56.823695 1.827574 0 .201600 54.794521 0 
0.45 Tovs 44966.684758 .853045 17.401353 44949.283404 0 0 42.000000 36.000000 9.000000 10.000000 3.000000 0 56.820640 1.824519 0 .201600 54.794521 0 
0.5 Tovs 44737.472931 .975813 19.497032 44717.975898 0 0 44.000000 27.000000 18.000000 8.000000 3.000000 0 56.855339 1.859218 0 .201600 54.794521 0 
0.55 Tovs 45072.999024 1.105908 21.495809 45051.503215 0 0 40.000000 30.000000 18.000000 8.000000 4.000000 0 56.859708 1.863588 0 .201600 54.794521 0 
0.6 Tovs 44503.357318 1.264287 22.940070 44480.417248 0 0 38.000000 32.000000 13.000000 15.000000 2.000000 0 56.839964 1.843844 0 .201600 54.794521 0 
0.65 Tovs 45089.156586 1.322576 23.950241 45065.206345 0 0 37.000000 33.000000 11.000000 14.000000 5.000000 0 56.892941 1.896821 0 .201600 54.794521 0 
0.7 Tovs 44421.290342 1.382042 27.156564 44394.133779 0 0 38.000000 32.000000 20.000000 7.000000 3.000000 0 56.871733 1.875613 0 .201600 54.794521 0 
0.75 Tovs 44835.144311 1.491015 29.219634 44805.924676 0 0 45.000000 27.000000 16.000000 8.000000 4.000000 0 56.882352 1.886232 0 .201600 54.794521 0 
0.8 Tovs 45699.625954 1.754627 29.800782 45669.825172 0 0 40.000000 27.000000 16.000000 10.000000 7.000000 0 56.896625 1.900505 0 .201600 54.794521 0 
0.85 Tovs 45093.395826 1.829651 32.646385 45060.749441 0 0 37.000000 35.000000 14.000000 11.000000 3.000000 0 56.892551 1.896430 0 .201600 54.794521 0 
0.9 Tovs 45358.928628 1.777395 37.546414 45321.382214 0 0 40.000000 37.000000 16.000000 3.000000 4.000000 0 56.937113 1.940993 0 .201600 54.794521 0 
0.95 Tovs 44238.207697 1.875540 41.412625 44196.795072 0 0 49.000000 29.000000 9.000000 9.000000 4.000000 0 56.851160 1.855039 0 .201600 54.794521 0 
1.0 Tovs 45070.720235 1.849090 39.662138 45031.058097 0 0 45.000000 28.000000 20.000000 5.000000 2.000000 0 56.876349 1.880228 0 .201600 54.794521 0 
