Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 45011.468098 .026059 1.031199 45010.436899 0 0 39.600000 31.100000 14.700000 11.200000 3.400000 0 113.113294 3.121052 0 .403200 109.589041 0 
0.1 Tovs 44948.542802 .077730 3.021392 44945.521410 0 0 39.500000 32.200000 15.700000 8.600000 4.000000 0 113.129061 3.136820 0 .403200 109.589041 0 
0.15 Tovs 45091.517447 .123925 5.154328 45086.363118 0 0 42.500000 32.100000 13.800000 8.400000 3.200000 0 113.112051 3.119810 0 .403200 109.589041 0 
0.2 Tovs 45516.444127 .179744 7.104977 45509.339149 0 0 43.300000 29.000000 12.000000 12.300000 3.400000 0 113.134818 3.142577 0 .403200 109.589041 0 
0.25 Tovs 45372.189302 .233621 9.152967 45363.036334 0 0 43.900000 27.900000 12.800000 11.100000 4.300000 0 113.139267 3.147026 0 .403200 109.589041 0 
0.3 Tovs 45545.631058 .286812 10.979818 45534.651239 0 0 39.000000 32.000000 16.100000 9.400000 3.500000 0 113.138821 3.146579 0 .403200 109.589041 0 
0.35 Tovs 44808.569197 .340937 13.256566 44795.312630 0 0 41.000000 30.200000 15.500000 9.100000 4.200000 0 113.130335 3.138094 0 .403200 109.589041 0 
0.4 Tovs 45143.471259 .381040 14.923424 45128.547835 0 0 41.500000 31.200000 13.900000 9.000000 4.400000 0 113.130857 3.138616 0 .403200 109.589041 0 
0.45 Tovs 45081.734442 .437954 17.143803 45064.590639 0 0 42.500000 29.600000 14.100000 9.500000 4.300000 0 113.148933 3.156692 0 .403200 109.589041 0 
0.5 Tovs 45298.011137 .478064 19.275886 45278.735250 0 0 42.600000 30.700000 14.600000 8.600000 3.500000 0 113.154935 3.162694 0 .403200 109.589041 0 
0.55 Tovs 44946.196503 .553064 21.018526 44925.177977 0 0 39.900000 30.100000 15.700000 10.500000 3.800000 0 113.161029 3.168788 0 .403200 109.589041 0 
0.6 Tovs 45524.121468 .587964 22.894925 45501.226543 0 0 42.100000 29.000000 15.100000 10.500000 3.300000 0 113.156658 3.164417 0 .403200 109.589041 0 
0.65 Tovs 45479.971063 .663833 24.965956 45455.005106 0 0 38.700000 31.500000 16.600000 9.300000 3.900000 0 113.168445 3.176204 0 .403200 109.589041 0 
0.7 Tovs 45193.091290 .695029 26.884250 45166.207039 0 0 41.900000 29.700000 13.600000 11.000000 3.800000 0 113.163072 3.170831 0 .403200 109.589041 0 
0.75 Tovs 45610.860075 .736873 29.147206 45581.712869 0 0 43.000000 29.700000 14.100000 9.400000 3.800000 0 113.158859 3.166617 0 .403200 109.589041 0 
0.8 Tovs 45989.372204 .774786 30.887790 45958.484413 0 0 43.000000 30.100000 12.400000 11.000000 3.500000 0 113.180409 3.188168 0 .403200 109.589041 0 
0.85 Tovs 45439.398933 .840761 33.738220 45405.660712 0 0 43.000000 30.300000 12.400000 10.400000 3.900000 0 113.183646 3.191405 0 .403200 109.589041 0 
0.9 Tovs 45940.870832 .868729 34.929963 45905.940869 0 0 40.800000 33.200000 14.300000 8.600000 3.100000 0 113.196571 3.204330 0 .403200 109.589041 0 
0.95 Tovs 46255.846390 .965373 36.956362 46218.890028 0 0 39.400000 32.400000 14.400000 9.600000 4.200000 0 113.202565 3.210323 0 .403200 109.589041 0 
1.0 Tovs 45624.060990 1.000950 38.792578 45585.268412 0 0 40.100000 31.400000 14.900000 9.500000 4.100000 0 113.190405 3.198163 0 .403200 109.589041 0 
1.05 Tovs 45872.127411 1.057184 40.690787 45831.436624 0 0 40.100000 29.700000 17.000000 9.400000 3.800000 0 113.220095 3.227854 0 .403200 109.589041 0 
1.1 Tovs 45478.862703 1.106581 43.758145 45435.104557 0 0 43.100000 28.600000 15.600000 8.500000 4.200000 0 113.212111 3.219870 0 .403200 109.589041 0 
1.15 Tovs 46093.170610 1.153325 45.951876 46047.218733 0 0 42.100000 30.800000 13.900000 9.300000 3.900000 0 113.223463 3.231222 0 .403200 109.589041 0 
1.2 Tovs 46071.494155 1.172256 47.647719 46023.846436 0 0 43.000000 30.000000 13.900000 10.700000 2.400000 0 113.215855 3.223614 0 .403200 109.589041 0 
1.25 Tovs 46213.327337 1.278198 49.330142 46163.997194 0 0 42.600000 28.200000 14.500000 10.500000 4.200000 0 113.232230 3.239989 0 .403200 109.589041 0 
1.3 Tovs 46132.372888 1.311062 51.488813 46080.884075 0 0 40.500000 32.000000 14.200000 9.300000 4.000000 0 113.241203 3.248962 0 .403200 109.589041 0 
1.35 Tovs 45504.982654 1.383045 53.991039 45450.991614 0 0 42.200000 29.900000 12.400000 11.200000 4.300000 0 113.228917 3.236676 0 .403200 109.589041 0 
1.4 Tovs 46207.194149 1.400144 55.133976 46152.060172 0 0 41.300000 31.100000 13.900000 10.700000 3.000000 0 113.237251 3.245010 0 .403200 109.589041 0 
1.45 Tovs 45913.186665 1.466092 57.168907 45856.017757 0 0 42.100000 28.500000 16.300000 10.100000 3.000000 0 113.248815 3.256574 0 .403200 109.589041 0 
1.5 Tovs 46691.697371 1.504602 59.846088 46631.851283 0 0 42.800000 28.500000 15.100000 10.300000 3.300000 0 113.258242 3.266001 0 .403200 109.589041 0 
