Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs .032717 .000008 .031338 0 .001379 1.000000 0 0 0 0 0 0 .000003 0 .000003 0 0 0 
0.1 Tovs .033902 .000023 .031354 0 .002547 1.000000 0 0 0 0 0 0 .000005 0 .000005 0 0 0 
0.15 Tovs .040726 .000067 .031809 0 .008917 1.000000 0 0 0 0 0 0 .000020 0 .000020 0 0 0
0.2 Tovs .034470 .000031 .031361 0 .003109 1.000000 0 0 0 0 0 0 .000007 0 .000007 0 0 0 
0.25 Tovs .037678 .000055 .031486 0 .006192 1.000000 0 0 0 0 0 0 .000013 0 .000013 0 0 0 
0.3 Tovs .176109 .001296 .034901 0 .141208 1.000000 0 0 0 0 0 0 .000403 0 .000403 0 0 0 
0.35 Tovs .040102 .000080 .031634 0 .008468 1.000000 0 0 0 0 0 0 .000018 0 .000018 0 0 0 
0.4 Tovs .050570 .000159 .032010 0 .018560 1.000000 0 0 0 0 0 0 .000049 0 .000049 0 0 0 
0.45 Tovs .169953 .000365 .043746 0 .126207 1.000000 0 0 0 0 0 0 .000260 0 .000260 0 0 0 
0.5 Tovs .044337 .000112 .031815 0 .012522 1.000000 0 0 0 0 0 0 .000026 0 .000026 0 0 0 
0.55 Tovs .045269 .000126 .031752 0 .013518 1.000000 0 0 0 0 0 0 .000029 0 .000029 0 0 0 
0.6 Tovs .052881 .000188 .032284 0 .020597 1.000000 0 0 0 0 0 0 .000046 0 .000046 0 0 0 
0.65 Tovs .060735 .000303 .032333 0 .028402 1.000000 0 0 0 0 0 0 .000059 0 .000059 0 0 0 
0.7 Tovs .047454 .000136 .032137 0 .015317 1.000000 0 0 0 0 0 0 .000032 0 .000032 0 0 0 
0.75 Tovs .059400 .000301 .032330 0 .027070 1.000000 0 0 0 0 0 0 .000055 0 .000055 0 0 0 
0.8 Tovs .054416 .000167 .032237 0 .022178 1.000000 0 0 0 0 0 0 .000048 0 .000048 0 0 0 
0.85 Tovs .056101 .000245 .032259 0 .023842 1.000000 0 0 0 0 0 0 .000052 0 .000052 0 0 0 
0.9 Tovs .059486 .000199 .032703 0 .026783 1.000000 0 0 0 0 0 0 .000057 0 .000057 0 0 0 
0.95 Tovs .066772 .000274 .033583 0 .033189 1.000000 0 0 0 0 0 0 .000064 0 .000064 0 0 0 
1.0 Tovs .087850 .000697 .032522 0 .055328 1.000000 0 0 0 0 0 0 .000133 0 .000133 0 0 0 
1.05 Tovs .343385 .001184 .042848 0 .300537 1.000000 0 0 0 0 0 0 .000807 0 .000807 0 0 0 
1.1 Tovs .068165 .000314 .032937 0 .035228 1.000000 0 0 0 0 0 0 .000070 0 .000070 0 0 0 
1.15 Tovs .097262 .000629 .033869 0 .063394 1.000000 0 0 0 0 0 0 .000124 0 .000124 0 0 0 
1.2 Tovs .072625 .000398 .032615 0 .040011 1.000000 0 0 0 0 0 0 .000098 0 .000098 0 0 0 
1.25 Tovs .065890 .000248 .033749 0 .032141 1.000000 0 0 0 0 0 0 .000062 0 .000062 0 0 0 
1.3 Tovs .081509 .000360 .033750 0 .047758 1.000000 0 0 0 0 0 0 .000098 0 .000098 0 0 0 
1.35 Tovs .118111 .000559 .035817 0 .082294 1.000000 0 0 0 0 0 0 .000135 0 .000135 0 0 0 
1.4 Tovs .097041 .000796 .033068 0 .063973 1.000000 0 0 0 0 0 0 .000156 0 .000156 0 0 0 
1.45 Tovs .087677 .000490 .033182 0 .054495 1.000000 0 0 0 0 0 0 .000101 0 .000101 0 0 0 
1.5 Tovs .080392 .000489 .033849 0 .046543 1.000000 0 0 0 0 0 0 .000088 0 .000088 0 0 0 
