Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 44825.168650 .049523 1.095981 44824.072669 0 0 44.000000 35.000000 10.000000 7.000000 4.000000 0 56.809388 1.813268 0 .201600 54.794521 0 
0.1 Tovs 43913.524569 .150528 2.938440 43910.586128 0 0 44.000000 26.000000 17.000000 9.000000 4.000000 0 56.810982 1.814862 0 .201600 54.794521 0 
0.15 Tovs 43620.866480 .245097 5.195180 43615.671301 0 0 45.000000 32.000000 9.000000 10.000000 4.000000 0 56.788472 1.792352 0 .201600 54.794521 0 
0.2 Tovs 44903.954817 .391953 7.001666 44896.953151 0 0 42.000000 24.000000 17.000000 10.000000 7.000000 0 56.819038 1.822918 0 .201600 54.794521 0 
0.25 Tovs 44699.395214 .466290 9.269597 44690.125617 0 0 44.000000 30.000000 11.000000 10.000000 5.000000 0 56.825227 1.829107 0 .201600 54.794521 0 
0.3 Tovs 44424.612129 .567993 10.882560 44413.729569 0 0 43.000000 26.000000 12.000000 15.000000 4.000000 0 56.840852 1.844731 0 .201600 54.794521 0 
0.35 Tovs 43519.219450 .729109 12.659180 43506.560270 0 0 32.000000 36.000000 18.000000 10.000000 4.000000 0 56.809929 1.813809 0 .201600 54.794521 0 
0.4 Tovs 43754.208380 .730500 14.879840 43739.328541 0 0 41.000000 33.000000 13.000000 10.000000 3.000000 0 56.856438 1.860318 0 .201600 54.794521 0 
0.45 Tovs 45257.419028 .916606 16.221301 45241.197727 0 0 37.000000 29.000000 23.000000 5.000000 6.000000 0 56.827840 1.831720 0 .201600 54.794521 0 
0.5 Tovs 44749.090618 .923531 19.177138 44729.913479 0 0 44.000000 32.000000 11.000000 8.000000 5.000000 0 56.868684 1.872563 0 .201600 54.794521 0 
0.55 Tovs 45170.460822 1.116499 21.094677 45149.366144 0 0 37.000000 34.000000 16.000000 9.000000 4.000000 0 56.820046 1.823925 0 .201600 54.794521 0 
0.6 Tovs 42680.391983 1.276138 24.367546 42656.024437 0 0 42.000000 30.000000 13.000000 8.000000 7.000000 0 56.850968 1.854847 0 .201600 54.794521 0 
0.65 Tovs 44915.550275 1.373504 25.411681 44890.138594 0 0 41.000000 29.000000 14.000000 11.000000 5.000000 0 56.847919 1.851798 0 .201600 54.794521 0 
0.7 Tovs 45169.945398 1.404096 27.919964 45142.025434 0 0 41.000000 33.000000 12.000000 11.000000 3.000000 0 56.839069 1.842948 0 .201600 54.794521 0 
0.75 Tovs 44117.841141 1.433249 30.564120 44087.277021 0 0 47.000000 29.000000 10.000000 8.000000 6.000000 0 56.846207 1.850087 0 .201600 54.794521 0 
0.8 Tovs 44383.329989 1.461778 31.164419 44352.165570 0 0 43.000000 32.000000 14.000000 10.000000 1.000000 0 56.912357 1.916237 0 .201600 54.794521 0 
0.85 Tovs 45150.723708 1.940801 33.412828 45117.310880 0 0 37.000000 29.000000 13.000000 15.000000 6.000000 0 56.901134 1.905014 0 .201600 54.794521 0 
0.9 Tovs 45443.150795 1.802297 32.826010 45410.324784 0 0 42.000000 27.000000 15.000000 12.000000 4.000000 0 56.896659 1.900539 0 .201600 54.794521 0 
0.95 Tovs 45430.409583 1.890012 37.809419 45392.600165 0 0 43.000000 29.000000 19.000000 6.000000 3.000000 0 56.888863 1.892743 0 .201600 54.794521 0 
1.0 Tovs 45714.152021 2.190094 38.985234 45675.166787 0 0 34.000000 35.000000 16.000000 10.000000 5.000000 0 56.906254 1.910133 0 .201600 54.794521 0 
