Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 44959.685329 .026132 1.020905 44958.664423 0 0 40.900000 30.900000 13.000000 10.100000 5.100000 0 113.102055 3.109814 0 .403200 109.589041 0 
0.1 Tovs 45361.924678 .077293 3.017806 45358.906872 0 0 42.000000 28.900000 15.200000 9.200000 4.700000 0 113.122943 3.130702 0 .403200 109.589041 0 
0.15 Tovs 44782.535078 .129150 5.006669 44777.528408 0 0 39.700000 32.100000 14.200000 9.300000 4.700000 0 113.098646 3.106405 0 .403200 109.589041 0 
0.2 Tovs 45075.740928 .184227 7.184484 45068.556443 0 0 41.700000 30.200000 12.700000 10.700000 4.700000 0 113.119694 3.127452 0 .403200 109.589041 0 
0.25 Tovs 45470.450506 .228140 9.005759 45461.444747 0 0 43.300000 28.800000 14.500000 8.400000 5.000000 0 113.136530 3.144289 0 .403200 109.589041 0 
0.3 Tovs 45368.979832 .288116 10.964048 45358.015784 0 0 41.200000 29.500000 15.300000 9.900000 4.100000 0 113.124437 3.132196 0 .403200 109.589041 0 
0.35 Tovs 44900.052955 .344770 13.073579 44886.979376 0 0 39.200000 31.800000 14.900000 9.900000 4.200000 0 113.126705 3.134464 0 .403200 109.589041 0 
0.4 Tovs 45396.408683 .391006 14.967405 45381.441277 0 0 40.200000 30.700000 15.200000 10.300000 3.600000 0 113.139070 3.146829 0 .403200 109.589041 0 
0.45 Tovs 45416.055078 .437298 17.225813 45398.829265 0 0 42.800000 28.500000 14.100000 10.700000 3.900000 0 113.141276 3.149035 0 .403200 109.589041 0 
0.5 Tovs 45698.521651 .510153 18.811560 45679.710090 0 0 39.900000 29.000000 14.700000 11.100000 5.300000 0 113.136983 3.144742 0 .403200 109.589041 0 
0.55 Tovs 45455.718931 .535360 21.361953 45434.356978 0 0 43.000000 30.000000 13.600000 8.900000 4.500000 0 113.158680 3.166438 0 .403200 109.589041 0 
0.6 Tovs 45579.994880 .601515 23.149513 45556.845367 0 0 41.200000 30.200000 13.500000 10.500000 4.600000 0 113.148239 3.155998 0 .403200 109.589041 0 
0.65 Tovs 45819.532314 .625518 24.796546 45794.735767 0 0 42.900000 29.300000 14.400000 9.400000 4.000000 0 113.172771 3.180530 0 .403200 109.589041 0 
0.7 Tovs 45358.205885 .701617 26.835000 45331.370885 0 0 41.400000 29.800000 13.400000 11.100000 4.300000 0 113.166401 3.174160 0 .403200 109.589041 0 
0.75 Tovs 45571.718757 .743995 28.904674 45542.814083 0 0 41.700000 30.000000 15.200000 8.600000 4.500000 0 113.156874 3.164633 0 .403200 109.589041 0 
0.8 Tovs 44926.764217 .804902 30.833753 44895.930464 0 0 40.200000 31.600000 15.800000 8.400000 4.000000 0 113.151418 3.159176 0 .403200 109.589041 0 
0.85 Tovs 45747.614191 .870751 32.662632 45714.951559 0 0 39.300000 30.500000 14.900000 10.400000 4.900000 0 113.173414 3.181172 0 .403200 109.589041 0 
0.9 Tovs 45825.943546 .912982 34.899201 45791.044344 0 0 40.600000 30.700000 14.000000 10.200000 4.500000 0 113.180324 3.188083 0 .403200 109.589041 0 
0.95 Tovs 46344.600443 .965955 37.640730 46306.959712 0 0 42.100000 28.500000 15.600000 10.400000 3.400000 0 113.199035 3.206794 0 .403200 109.589041 0 
1.0 Tovs 45776.805809 1.017784 38.807052 45737.998757 0 0 39.800000 31.500000 14.700000 9.400000 4.600000 0 113.193150 3.200909 0 .403200 109.589041 0 
1.05 Tovs 46065.790710 1.098783 40.428876 46025.361834 0 0 40.200000 28.800000 14.800000 10.700000 5.500000 0 113.203691 3.211450 0 .403200 109.589041 0 
1.1 Tovs 45846.227173 1.165064 42.316609 45803.910563 0 0 39.500000 28.800000 16.000000 10.700000 5.000000 0 101.875315 2.882298 0 .403200 109.589041 0 
1.15 Tovs 45840.888386 1.157089 45.559918 45795.328468 0 0 43.400000 28.100000 14.900000 9.900000 3.700000 0 113.202089 3.209847 0 .403200 109.589041 0 
1.2 Tovs 46089.501664 1.221727 46.772091 46042.729573 0 0 42.400000 28.400000 15.600000 9.000000 4.600000 0 113.210703 3.218462 0 .403200 109.589041 0 
1.25 Tovs 45542.097618 1.326881 47.957923 45494.139695 0 0 38.400000 30.800000 14.100000 11.900000 4.800000 0 101.880994 2.887977 0 .403200 109.589041 0 
1.3 Tovs 45789.872115 1.312369 50.924857 45738.947258 0 0 40.800000 30.700000 15.600000 9.400000 3.500000 0 113.218656 3.226415 0 .403200 109.589041 0 
1.35 Tovs 46014.026088 1.428094 53.374491 45960.651596 0 0 41.800000 28.300000 12.700000 11.500000 5.700000 0 113.232921 3.240680 0 .403200 109.589041 0 
1.4 Tovs 46407.462378 1.425860 53.861355 46353.601024 0 0 40.300000 30.900000 14.000000 9.500000 5.300000 0 113.220271 3.228030 0 .403200 109.589041 0 
1.45 Tovs 46404.438874 1.596802 54.893652 46349.545221 0 0 38.100000 27.500000 16.100000 11.600000 6.700000 0 101.916439 2.923422 0 .403200 109.589041 0 
1.5 Tovs 46264.338006 1.617838 57.991503 46206.346502 0 0 39.300000 29.100000 15.000000 10.600000 6.000000 0 101.915907 2.922891 0 .403200 109.589041 0 
