Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 0.045089 .000116 .031870 0 .013219 1.000000 0 0 0 0 0 0 .000028 0 .000028 0 0 0
0.1 Tovs 0.117977 .000621 .038302 0 .079675 1.000000 0 0 0 0 0 0 .000142 0 .000142 0 0 0
0.15 Tovs 0.281372 .001924 .043039 0 .238333 1.000000 0 0 0 0 0 0 .000535 0 .000535 0 0 0
0.2 Tovs 0.338350 .002502 .041550 0 .296801 1.000000 0 0 0 0 0 0 .000661 0 .000661 0 0 0
0.25 Tovs 0.164865 .001254 .036469 0 .128395 1.000000 0 0 0 0 0 0 .000278 0 .000278 0 0 0
0.3 Tovs 0.216152 .002461 .037227 0 .178925 1.000000 0 0 0 0 0 0 .000351 0 .000351 0 0 0
0.35 Tovs 0.264971 .002193 .041445 0 .223526 1.000000 0 0 0 0 0 0 .000459 0 .000459 0 0 0
0.4 Tovs 0.405955 .003513 .045501 0 .360455 1.000000 0 0 0 0 0 0 .000744 0 .000744 0 0 0
0.45 Tovs 0.365706 .003069 .043237 0 .322468 1.000000 0 0 0 0 0 0 .000716 0 .000716 0 0 0
0.5 Tovs 0.733246 .007032 .058975 0 .674271 1.000000 0 0 0 0 0 0 .001200 0 .001200 0 0 0
0.55 Tovs 1.186914 .009697 .065542 0 1.121372 1.000000 0 0 0 0 0 0 .002856 0 .002856 0 0 0
0.6 Tovs 1.417046 .007612 .100631 0 1.316415 1.000000 0 0 0 0 0 0 .002418 0 .002418 0 0 0
0.65 Tovs 0.490241 .003841 .052140 0 .438101 1.000000 0 0 0 0 0 0 .000897 0 .000897 0 0 0 
0.7 Tovs 0.915017 .005641 .083728 0 .831289 1.000000 0 0 0 0 0 0 .001884 0 .001884 0 0 0 
0.75 Tovs 1.008486 .009367 .052680 0 .955806 1.000000 0 0 0 0 0 0 .002329 0 .002329 0 0 0
0.8 Tovs 1.653646 .015586 .122362 0 1.531285 1.000000 0 0 0 0 0 0 .002632 0 .002632 0 0 0
0.85 Tovs 0.640682 .005254 .054332 0 .586349 1.000000 0 0 0 0 0 0 .001262 0 .001262 0 0 0
0.9 Tovs 0.886922 .005317 .089803 0 .797119 1.000000 0 0 0 0 0 0 .001719 0 .001719 0 0 0
0.95 Tovs 1.190444 .010150 .067091 0 1.123353 1.000000 0 0 0 0 0 0 .002814 0 .002814 0 0 0
1.0 Tovs 1.107335 .007836 .099408 0 1.007927 1.000000 0 0 0 0 0 0 .002269 0 .002269 0 0 0
1.05 Tovs 0.910707 .005723 .082289 0 .828418 1.000000 0 0 0 0 0 0 .001710 0 .001710 0 0 0
1.1 Tovs 0.995158 .009456 .069405 0 .925753 1.000000 0 0 0 0 0 0 .001919 0 .001919 0 0 0
1.15 Tovs 0.652929 .005609 .060509 0 .592420 1.000000 0 0 0 0 0 0 .001210 0 .001210 0 0 0
1.2 Tovs 0.720120 .005669 .060709 0 .659410 1.000000 0 0 0 0 0 0 .001401 0 .001401 0 0 0
1.25 Tovs 1.756016 .015646 .086303 0 1.669713 1.000000 0 0 0 0 0 0 .003995 0 .003995 0 0 0
1.3 Tovs 2.358818 .015980 .153161 0 2.205656 1.000000 0 0 0 0 0 0 .004969 0 .004969 0 0 0
1.35 Tovs 1.524871 .009077 .115005 0 1.409866 1.000000 0 0 0 0 0 0 .002934 0 .002934 0 0 0
1.4 Tovs 2.009338 .017428 .127133 0 1.882205 1.000000 0 0 0 0 0 0 .004372 0 .004372 0 0 0
1.45 Tovs 2.253371 .019570 .140843 0 2.112528 1.000000 0 0 0 0 0 0 .004393 0 .004393 0 0 0 
1.5 Tovs 1.199192 .008999 .079005 0 1.120187 1.000000 0 0 0 0 0 0 .002543 0 .002543 0 0 0 
