Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 44165.804574 .065650 .932397 44164.872177 0 0 36.000000 23.000000 11.000000 13.000000 17.000000 0 56.824971 1.828850 0 .201600 54.794521 0 
0.1 Tovs 44793.005823 .190429 2.944649 44790.061174 0 0 36.000000 27.000000 17.000000 11.000000 9.000000 0 56.839045 1.842925 0 .201600 54.794521 0 
0.15 Tovs 44709.793568 .282196 4.568938 44705.224630 0 0 34.000000 28.000000 17.000000 15.000000 6.000000 0 56.804815 1.808694 0 .201600 54.794521 0 
0.2 Tovs 44798.065366 .428239 6.614188 44791.451178 0 0 33.000000 31.000000 13.000000 11.000000 12.000000 0 56.784304 1.788183 0 .201600 54.794521 0 
0.25 Tovs 45171.630403 .499826 8.806143 45162.824260 0 0 37.000000 36.000000 10.000000 9.000000 8.000000 0 56.800097 1.803977 0 .201600 54.794521 0 
0.3 Tovs 44835.991968 .609257 10.811151 44825.180817 0 0 36.000000 31.000000 17.000000 14.000000 2.000000 0 56.808152 1.812032 0 .201600 54.794521 0 
0.35 Tovs 44587.560652 .756357 11.959512 44575.601140 0 0 32.000000 32.000000 14.000000 15.000000 7.000000 0 56.825061 1.828941 0 .201600 54.794521 0 
0.4 Tovs 44818.181580 .919210 14.899095 44803.282485 0 0 36.000000 30.000000 15.000000 10.000000 9.000000 0 56.824777 1.828657 0 .201600 54.794521 0 
0.45 Tovs 44124.437992 .949624 16.866049 44107.571943 0 0 39.000000 31.000000 13.000000 11.000000 6.000000 0 56.837839 1.841719 0 .201600 54.794521 0 
0.5 Tovs 43798.222829 1.263483 17.580197 43780.642632 0 0 36.000000 21.000000 18.000000 13.000000 12.000000 0 56.799179 1.803058 0 .201600 54.794521 0 
0.55 Tovs 43972.267248 1.266703 21.045105 43951.222143 0 0 39.000000 25.000000 18.000000 8.000000 10.000000 0 56.815611 1.819490 0 .201600 54.794521 0 
0.6 Tovs 45535.576716 1.337944 22.259264 45513.317453 0 0 40.000000 26.000000 16.000000 8.000000 10.000000 0 56.865284 1.869164 0 .201600 54.794521 0 
0.65 Tovs 44705.376695 1.626186 22.961758 44682.414937 0 0 27.000000 33.000000 16.000000 14.000000 10.000000 0 56.804043 1.807923 0 .201600 54.794521 0 
0.7 Tovs 44529.666280 1.423026 26.952846 44502.713434 0 0 45.000000 27.000000 7.000000 14.000000 7.000000 0 56.828528 1.832408 0 .201600 54.794521 0 
0.75 Tovs 45686.508018 1.720232 27.290240 45659.217778 0 0 38.000000 23.000000 17.000000 15.000000 7.000000 0 56.851544 1.855423 0 .201600 54.794521 0 
0.8 Tovs 44561.396320 2.038036 29.080565 44532.315755 0 0 32.000000 29.000000 14.000000 12.000000 13.000000 0 56.829521 1.833401 0 .201600 54.794521 0 
0.85 Tovs 45185.303477 2.065887 31.137979 45154.165498 0 0 28.000000 36.000000 18.000000 9.000000 9.000000 0 56.840094 1.843973 0 .201600 54.794521 0 
0.9 Tovs 45695.229893 2.026411 32.647455 45662.582438 0 0 30.000000 36.000000 16.000000 10.000000 8.000000 0 56.862037 1.865917 0 .201600 54.794521 0 
0.95 Tovs 45218.973222 2.110574 35.522060 45183.451162 0 0 38.000000 30.000000 10.000000 12.000000 10.000000 0 56.845500 1.849380 0 .201600 54.794521 0
1.0 Tovs 45176.735996 2.542388 36.410384 45140.325613 0 0 26.000000 35.000000 16.000000 12.000000 11.000000 0 56.827466 1.831346 0 .201600 54.794521 0 
