Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 44920.855252 .029075 .977530 44919.877722 0 0 36.800000 27.400000 14.800000 13.700000 7.300000 0 113.099089 3.106848 0 .403200 109.589041 0 
0.1 Tovs 45018.989538 .088360 2.915478 45016.074060 0 0 39.300000 26.200000 12.700000 13.100000 8.700000 0 113.096703 3.104462 0 .403200 109.589041 0 
0.15 Tovs 45358.238717 .151275 4.663952 45353.574765 0 0 34.400000 28.200000 15.700000 11.900000 9.800000 0 113.114458 3.122217 0 .403200 109.589041 0 
0.2 Tovs 44477.513781 .205666 6.626270 44470.887511 0 0 36.700000 26.300000 17.500000 12.000000 7.500000 0 113.096152 3.103910 0 .403200 109.589041 0 
0.25 Tovs 45365.894635 .269008 8.558503 45357.336132 0 0 38.300000 26.000000 12.400000 13.800000 9.500000 0 113.112262 3.120021 0 .403200 109.589041 0 
0.3 Tovs 45427.167885 .330057 10.359928 45416.807956 0 0 37.100000 25.700000 14.200000 13.200000 9.800000 0 113.108885 3.116644 0 .403200 109.589041 0 
0.35 Tovs 45238.860269 .382959 12.313123 45226.547147 0 0 35.000000 28.800000 15.800000 13.800000 6.600000 0 113.120029 3.127788 0 .403200 109.589041 0 
0.4 Tovs 45259.992031 .450606 14.206993 45245.785037 0 0 37.100000 27.600000 14.000000 10.600000 10.700000 0 113.120500 3.128259 0 .403200 109.589041 0 
0.45 Tovs 45574.665494 .504656 16.076474 45558.589021 0 0 37.400000 27.100000 13.900000 12.300000 9.300000 0 113.119741 3.127499 0 .403200 109.589041 0 
0.5 Tovs 45306.266933 .576008 17.713277 45288.553656 0 0 36.200000 26.100000 14.300000 14.700000 8.700000 0 113.123142 3.130901 0 .403200 109.589041 0 
0.55 Tovs 45871.998867 .635229 20.070428 45851.928438 0 0 38.000000 25.100000 15.100000 11.300000 10.500000 0 113.120785 3.128544 0 .403200 109.589041 0 
0.6 Tovs 45418.865646 .685087 21.593653 45397.271992 0 0 34.500000 28.700000 15.600000 12.600000 8.600000 0 113.124496 3.132255 0 .403200 109.589041 0 
0.65 Tovs 46024.715517 .773434 23.488451 46001.227066 0 0 36.300000 26.100000 13.800000 13.000000 10.800000 0 113.125164 3.132923 0 .403200 109.589041 0 
0.7 Tovs 45637.627046 .820311 24.876269 45612.750776 0 0 34.800000 26.300000 16.300000 12.600000 10.000000 0 113.127589 3.135348 0 .403200 109.589041 0 
0.75 Tovs 45496.927027 .855157 28.041870 45468.885156 0 0 37.500000 26.900000 15.200000 12.100000 8.300000 0 113.140490 3.148249 0 .403200 109.589041 0 
0.8 Tovs 46086.500514 .926755 29.475230 46057.025283 0 0 37.500000 27.400000 11.300000 13.800000 10.000000 0 113.131329 3.139088 0 .403200 109.589041 0 
0.85 Tovs 46075.149542 .994168 31.302401 46043.847141 0 0 37.500000 25.100000 15.200000 11.800000 10.400000 0 113.134367 3.142126 0 .403200 109.589041 0 
0.9 Tovs 45960.531765 1.049870 32.888904 45927.642861 0 0 37.400000 26.400000 14.300000 11.900000 10.000000 0 113.143180 3.150939 0 .403200 109.589041 0 
0.95 Tovs 45634.046892 1.121851 34.992766 45599.054126 0 0 34.300000 28.900000 14.700000 14.200000 7.900000 0 113.144441 3.152200 0 .403200 109.589041 0 
1.0 Tovs 46268.340180 1.187338 36.310775 46232.029403 0 0 38.500000 23.700000 13.800000 13.000000 11.000000 0 113.136252 3.144010 0 .403200 109.589041 0 
1.05 Tovs 45653.491199 1.228793 38.919194 45614.572004 0 0 36.500000 27.600000 14.000000 12.800000 9.100000 0 113.145665 3.153424 0 .403200 109.589041 0 
1.1 Tovs 46109.315029 1.332196 40.192564 46069.122464 0 0 36.200000 24.700000 15.300000 13.300000 10.500000 0 113.143082 3.150841 0 .403200 109.589041 0 
1.15 Tovs 46067.211969 1.320899 42.101494 46025.110474 0 0 36.200000 27.900000 13.500000 14.000000 8.400000 0 113.145808 3.153567 0 .403200 109.589041 0 
1.2 Tovs 46144.097434 1.423246 43.601062 46100.496371 0 0 37.300000 24.800000 13.600000 13.300000 11.000000 0 113.166268 3.174027 0 .403200 109.589041 0 
1.25 Tovs 46272.893002 1.487880 46.280720 46226.612282 0 0 36.900000 26.600000 14.700000 12.200000 9.600000 0 113.157184 3.164943 0 .403200 109.589041 0 
1.3 Tovs 45781.469769 1.518035 48.691252 45732.778517 0 0 35.300000 29.400000 14.500000 12.000000 8.800000 0 113.134359 3.142117 0 .403200 109.589041 0 
1.35 Tovs 45781.106778 1.573184 49.649884 45731.456893 0 0 37.400000 26.600000 13.500000 13.000000 9.500000 0 113.150891 3.158650 0 .403200 109.589041 0 
1.4 Tovs 46224.783173 1.670344 51.507927 46173.275245 0 0 37.000000 24.500000 16.500000 12.400000 9.600000 0 113.169717 3.177476 0 .403200 109.589041 0 
1.45 Tovs 46037.434009 1.688489 53.850030 45983.583979 0 0 37.100000 26.700000 14.300000 12.500000 9.400000 0 113.155382 3.163141 0 .403200 109.589041 0 
1.5 Tovs 46940.520279 1.815876 54.805222 46885.715057 0 0 36.800000 26.500000 12.700000 12.500000 11.500000 0 113.171223 3.178982 0 .403200 109.589041 0 
