Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs .127530 .000906 .035285 0 .092246 1.000000 0 0 0 0 0 0 .000193 0 .000193 0 0 0 
0.1 Tovs .374450 .002990 .046126 0 .328323 1.000000 0 0 0 0 0 0 .000725 0 .000725 0 0 0 
0.15 Tovs .545955 .004047 .057788 0 .488167 1.000000 0 0 0 0 0 0 .001068 0 .001068 0 0 0 
0.2 Tovs .598541 .005099 .053950 0 .544591 1.000000 0 0 0 0 0 0 .001149 0 .001149 0 0 0 
0.25 Tovs 1.028861 .008063 .075346 0 .953515 1.000000 0 0 0 0 0 0 .002088 0 .002088 0 0 0 
0.3 Tovs 1.383083 .012842 .084152 0 1.298931 1.000000 0 0 0 0 0 0 .002866 0 .002866 0 0 0 
0.35 Tovs 1.538979 .012746 .100604 0 1.438376 1.000000 0 0 0 0 0 0 .003168 0 .003168 0 0 0 
0.4 Tovs 1.620378 .013349 .101098 0 1.519280 1.000000 0 0 0 0 0 0 .003240 0 .003240 0 0 0 
0.45 Tovs 2.513137 .019107 .178383 0 2.334755 1.000000 0 0 0 0 0 0 .005339 0 .005339 0 0 0 
0.5 Tovs 1.897829 .015059 .125073 0 1.772756 1.000000 0 0 0 0 0 0 .003979 0 .003979 0 0 0 
0.55 Tovs 2.895224 .026658 .160438 0 2.734786 1.000000 0 0 0 0 0 0 .005358 0 .005358 0 0 0 
0.6 Tovs 2.149018 .021489 .119454 0 2.029564 1.000000 0 0 0 0 0 0 .003923 0 .003923 0 0 0 
0.65 Tovs 2.638245 .022723 .159145 0 2.479100 1.000000 0 0 0 0 0 0 .005582 0 .005582 0 0 0 
0.7 Tovs 2.610890 .021839 .140649 0 2.470242 1.000000 0 0 0 0 0 0 .005196 0 .005196 0 0 0 
0.75 Tovs 3.397418 .029054 .177171 0 3.220247 1.000000 0 0 0 0 0 0 .006695 0 .006695 0 0 0 
0.8 Tovs 3.059952 .025255 .168200 0 2.891752 1.000000 0 0 0 0 0 0 .006122 0 .006122 0 0 0 
0.85 Tovs 4.080739 .037227 .229599 0 3.851140 1.000000 0 0 0 0 0 0 .008406 0 .008406 0 0 0 
0.9 Tovs 4.023512 .032686 .202175 0 3.821337 1.000000 0 0 0 0 0 0 .008678 0 .008678 0 0 0 
0.95 Tovs 4.147424 .039639 .212799 0 3.934625 1.000000 0 0 0 0 0 0 .008271 0 .008271 0 0 0 
1.0 Tovs 4.639688 .040700 .249175 0 4.390513 1.000000 0 0 0 0 0 0 .009461 0 .009461 0 0 0 
1.05 Tovs 4.684583 .038529 .242777 0 4.441807 1.000000 0 0 0 0 0 0 .009667 0 .009667 0 0 0 
1.1 Tovs 4.883692 .035291 .319016 0 4.564676 1.000000 0 0 0 0 0 0 .009558 0 .009558 0 0 0 
1.15 Tovs 5.750908 .047639 .265157 0 5.485751 1.000000 0 0 0 0 0 0 .011350 0 .011350 0 0 0 
1.2 Tovs 4.832583 .036197 .268090 0 4.564493 1.000000 0 0 0 0 0 0 .010213 0 .010213 0 0 0 
1.25 Tovs 5.273116 .047331 .274811 0 4.998305 1.000000 0 0 0 0 0 0 .010698 0 .010698 0 0 0 
1.3 Tovs 5.352301 .053474 .237871 0 5.114430 1.000000 0 0 0 0 0 0 .010491 0 .010491 0 0 0 
1.35 Tovs 5.328869 .047971 .274769 0 5.054101 1.000000 0 0 0 0 0 0 .011141 0 .011141 0 0 0 
1.4 Tovs 6.999213 .056492 .407901 0 6.591312 1.000000 0 0 0 0 0 0 .013434 0 .013434 0 0 0 
1.45 Tovs 5.965812 .056095 .257741 0 5.708071 1.000000 0 0 0 0 0 0 .011720 0 .011720 0 0 0 
1.5 Tovs 7.121290 .061112 .310750 0 6.810540 1.000000 0 0 0 0 0 0 .015719 0 .015719 0 0 0 
