Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 44452.151948 .084275 .826349 44451.325599 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.834840 1.838720 0 .201600 54.794521 0 
0.1 Tovs 44248.910206 .231326 2.229935 44246.680271 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.780764 1.784643 0 .201600 54.794521 0 
0.15 Tovs 44807.549719 .401372 3.804838 44803.744881 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.794658 1.798538 0 .201600 54.794521 0 
0.2 Tovs 44906.021837 .561178 5.441484 44900.580353 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.802000 1.805879 0 .201600 54.794521 0 
0.25 Tovs 44170.465861 .718676 6.828590 44163.637271 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.803617 1.807497 0 .201600 54.794521 0 
0.3 Tovs 45071.141758 .925644 8.724609 45062.417149 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.820046 1.823926 0 .201600 54.794521 0 
0.35 Tovs 42816.143580 1.038966 9.846360 42806.297220 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.776985 1.780865 0 .201600 54.794521 0 
0.4 Tovs 44956.390112 1.212471 11.349607 44945.040505 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.845960 1.849839 0 .201600 54.794521 0 
0.45 Tovs 44533.445068 1.283663 13.256979 44520.188089 0 0 26.000000 15.000000 21.000000 22.000000 16.000000 0 56.772698 1.776577 0 .201600 54.794521 0 
0.5 Tovs 45148.672742 1.525879 14.108630 45134.564112 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.807319 1.811198 0 .201600 54.794521 0 
0.55 Tovs 45616.008185 1.791844 16.651720 45599.356465 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.822505 1.826385 0 .201600 54.794521 0 
0.6 Tovs 45729.130096 1.919151 17.381141 45711.748954 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.816202 1.820082 0 .201600 54.794521 0 
0.65 Tovs 44418.251784 2.069969 19.238693 44399.013091 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.764688 1.768567 0 .201600 54.794521 0 
0.7 Tovs 45252.731504 2.235570 21.127579 45231.603925 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.808619 1.812499 0 .201600 54.794521 0 
0.75 Tovs 44480.137511 2.291356 21.769404 44458.368107 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.793496 1.797376 0 .201600 54.794521 0 
0.8 Tovs 45266.896275 2.601969 23.654220 45243.242056 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.818996 1.822875 0 .201600 54.794521 0 
0.85 Tovs 46062.596729 2.741093 25.379256 46037.217473 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.787487 1.791366 0 .201600 54.794521 0 
0.9 Tovs 45509.022969 2.799384 27.585164 45481.437805 0 0 18.000000 25.000000 18.000000 16.000000 23.000000 0 56.793155 1.797035 0 .201600 54.794521 0 
0.95 Tovs 44623.745007 3.023062 27.293671 44596.451336 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 56.809076 1.812956 0 .201600 54.794521 0 
1.0 Tovs 45313.846183 3.446062 27.121811 45286.724372 0 0 17.000000 13.000000 19.000000 28.000000 23.000000 0 56.788241 1.792120 0 .201600 54.794521 0 
