Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs 45055.407412 .080389 .796960 45054.610452 0 0 19.000000 23.300000 17.100000 19.800000 20.800000 0 113.103795 3.111554 0 .403200 109.589041 0 
0.1 Tovs 44947.784001 .239577 2.295365 44945.488635 0 0 18.900000 22.000000 18.400000 19.700000 21.000000 0 113.099158 3.106917 0 .403200 109.589041 0 
0.15 Tovs 45069.490849 .403155 3.820923 45065.669925 0 0 18.500000 21.400000 18.100000 21.200000 20.800000 0 113.088270 3.096029 0 .403200 109.589041 0 
0.2 Tovs 45081.935545 .565500 5.355497 45076.580048 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.102174 3.109932 0 .403200 109.589041 0 
0.25 Tovs 45384.628793 .717114 6.964186 45377.664607 0 0 19.400000 23.000000 18.000000 19.600000 20.000000 0 113.114751 3.122510 0 .403200 109.589041 0 
0.3 Tovs 45385.861976 .890682 8.603129 45377.258847 0 0 19.100000 23.300000 17.000000 19.900000 20.700000 0 113.106954 3.114712 0 .403200 109.589041 0 
0.35 Tovs 45752.596685 1.051365 9.756975 45742.839710 0 0 17.900000 22.000000 18.700000 20.400000 21.000000 0 113.110126 3.117885 0 .403200 109.589041 0 
0.4 Tovs 45303.810392 1.193366 11.349424 45292.460968 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.092567 3.100326 0 .403200 109.589041 0 
0.45 Tovs 45236.711658 1.370433 12.995563 45223.716095 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.089121 3.096880 0 .403200 109.589041 0 
0.5 Tovs 45840.399356 1.518005 14.371239 45826.028117 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.098288 3.106047 0 .403200 109.589041 0 
0.55 Tovs 45972.828365 1.712290 15.871763 45956.956601 0 0 18.100000 22.800000 18.000000 19.700000 21.400000 0 113.102589 3.110348 0 .403200 109.589041 0 
0.6 Tovs 45414.543103 1.883269 17.856394 45396.686709 0 0 18.900000 22.300000 17.200000 20.600000 21.000000 0 113.107393 3.115152 0 .403200 109.589041 0 
0.65 Tovs 45212.711496 2.027907 19.031269 45193.680227 0 0 17.900000 23.300000 18.100000 19.800000 20.900000 0 113.090832 3.098591 0 .403200 109.589041 0 
0.7 Tovs 46235.880656 2.175731 20.219195 46215.661461 0 0 18.000000 21.800000 18.200000 20.300000 21.700000 0 113.104482 3.112241 0 .403200 109.589041 0 
0.75 Tovs 46050.150138 2.356030 22.298352 46027.851785 0 0 19.200000 21.000000 18.200000 21.200000 20.400000 0 113.102482 3.110241 0 .403200 109.589041 0 
0.8 Tovs 46604.130111 2.533953 23.848454 46580.281657 0 0 17.900000 23.300000 18.100000 19.800000 20.900000 0 113.110331 3.118090 0 .403200 109.589041 0 
0.85 Tovs 46267.789535 2.678630 25.218053 46242.571481 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.096448 3.104207 0 .403200 109.589041 0 
0.9 Tovs 45950.851440 2.829902 26.789388 45924.062051 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.099089 3.106848 0 .403200 109.589041 0 
0.95 Tovs 46067.129348 2.959830 28.162480 46038.966868 0 0 19.000000 23.300000 17.100000 19.800000 20.800000 0 113.102387 3.110146 0 .403200 109.589041 0 
1.0 Tovs 46219.144416 3.175926 29.815850 46189.328565 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.100282 3.108041 0 .403200 109.589041 0 
1.05 Tovs 46149.950871 3.371485 31.165026 46118.785844 0 0 18.500000 21.400000 18.100000 21.200000 20.800000 0 113.089672 3.097431 0 .403200 109.589041 0 
1.1 Tovs 46947.362540 3.536136 32.024410 46915.338130 0 0 17.500000 20.800000 18.600000 21.700000 21.400000 0 113.110908 3.118667 0 .403200 109.589041 0 
1.15 Tovs 46240.586615 3.631643 34.650818 46205.935796 0 0 18.500000 22.700000 18.100000 20.200000 20.500000 0 113.087466 3.095225 0 .403200 109.589041 0 
1.2 Tovs 46547.111771 3.762235 35.743633 46511.368138 0 0 18.900000 22.300000 17.200000 20.600000 21.000000 0 113.102476 3.110234 0 .403200 109.589041 0 
1.25 Tovs 46047.311840 3.868061 37.134326 46010.177513 0 0 18.500000 23.300000 18.100000 19.500000 20.600000 0 113.092565 3.100323 0 .403200 109.589041 0 
1.3 Tovs 46582.379789 4.187145 38.664630 46543.715158 0 0 18.200000 21.500000 18.700000 20.200000 21.400000 0 113.104321 3.112080 0 .403200 109.589041 0 
1.35 Tovs 47238.283005 4.247128 39.790678 47198.492326 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.099168 3.106927 0 .403200 109.589041 0 
1.4 Tovs 47155.030617 4.471840 41.700937 47113.329679 0 0 18.700000 22.200000 18.100000 19.900000 21.100000 0 113.101161 3.108920 0 .403200 109.589041 0 
1.45 Tovs 46732.706295 4.608475 43.135690 46689.570605 0 0 18.000000 23.000000 18.000000 20.000000 21.000000 0 113.095892 3.103650 0 .403200 109.589041 0 
1.5 Tovs 47264.400939 4.749836 44.532544 47219.868394 0 0 18.200000 22.600000 18.200000 19.000000 22.000000 0 113.095603 3.103362 0 .403200 109.589041 0 
