Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.564 CPU_Frequency_0.327 CPU_Frequency_0.25 CPU_Frequency_0.182 Period_Violation Cost Cpu_Memory_Cost Network_Cost Baseline_Cost HW_Cost Rental_Cost
0.05 Tovs .149464 .001065 .036564 0 .112900 1.000000 0 0 0 0 0 0 .000244 0 .000244 0 0 0 
0.1 Tovs .393668 .003050 .048403 0 .345265 1.000000 0 0 0 0 0 0 .000752 0 .000752 0 0 0 
0.15 Tovs .645634 .005227 .059726 0 .585908 1.000000 0 0 0 0 0 0 .001202 0 .001202 0 0 0 
0.2 Tovs .826998 .007159 .067189 0 .759808 1.000000 0 0 0 0 0 0 .001485 0 .001485 0 0 0 
0.25 Tovs 1.056172 .009148 .074487 0 .981684 1.000000 0 0 0 0 0 0 .002034 0 .002034 0 0 0 
0.3 Tovs 1.359756 .010949 .093453 0 1.266303 1.000000 0 0 0 0 0 0 .002686 0 .002686 0 0 0 
0.35 Tovs 1.548259 .013100 .099996 0 1.448263 1.000000 0 0 0 0 0 0 .003037 0 .003037 0 0 0 
0.4 Tovs 1.892464 .015623 .117659 0 1.774806 1.000000 0 0 0 0 0 0 .003755 0 .003755 0 0 0 
0.45 Tovs 2.105438 .017116 .133813 0 1.971626 1.000000 0 0 0 0 0 0 .004169 0 .004169 0 0 0 
0.5 Tovs 2.236185 .018798 .134981 0 2.101204 1.000000 0 0 0 0 0 0 .004517 0 .004517 0 0 0 
0.55 Tovs 2.453715 .020584 .145985 0 2.307730 1.000000 0 0 0 0 0 0 .004959 0 .004959 0 0 0 
0.6 Tovs 2.812148 .024671 .164404 0 2.647744 1.000000 0 0 0 0 0 0 .005531 0 .005531 0 0 0 
0.65 Tovs 2.933221 .024223 .176786 0 2.756435 1.000000 0 0 0 0 0 0 .005724 0 .005724 0 0 0 
0.7 Tovs 3.321945 .027585 .190651 0 3.131294 1.000000 0 0 0 0 0 0 .006503 0 .006503 0 0 0 
0.75 Tovs 3.338397 .028089 .185185 0 3.153212 1.000000 0 0 0 0 0 0 .006668 0 .006668 0 0 0 
0.8 Tovs 3.722143 .030331 .204957 0 3.517186 1.000000 0 0 0 0 0 0 .007578 0 .007578 0 0 0 
0.85 Tovs 4.086329 .034661 .213704 0 3.872626 1.000000 0 0 0 0 0 0 .008108 0 .008108 0 0 0 
0.9 Tovs 4.097847 .036914 .223348 0 3.874499 1.000000 0 0 0 0 0 0 .007798 0 .007798 0 0 0 
0.95 Tovs 4.503600 .036491 .239088 0 4.264512 1.000000 0 0 0 0 0 0 .008791 0 .008791 0 0 0 
1.0 Tovs 4.671241 .039259 .248267 0 4.422974 1.000000 0 0 0 0 0 0 .009516 0 .009516 0 0 0 
1.05 Tovs 4.959127 .041528 .267406 0 4.691721 1.000000 0 0 0 0 0 0 .010019 0 .010019 0 0 0 
1.1 Tovs 5.252534 .042567 .277910 0 4.974623 1.000000 0 0 0 0 0 0 .010576 0 .010576 0 0 0 
1.15 Tovs 5.477445 .048876 .293558 0 5.183887 1.000000 0 0 0 0 0 0 .010923 0 .010923 0 0 0 
1.2 Tovs 5.637507 .045928 .297427 0 5.340080 1.000000 0 0 0 0 0 0 .011721 0 .011721 0 0 0 
1.25 Tovs 5.718188 .050384 .294309 0 5.423880 1.000000 0 0 0 0 0 0 .011198 0 .011198 0 0 0 
1.3 Tovs 6.048253 .052453 .318647 0 5.729606 1.000000 0 0 0 0 0 0 .011776 0 .011776 0 0 0 
1.35 Tovs 5.881354 .048565 .311846 0 5.569508 1.000000 0 0 0 0 0 0 .011507 0 .011507 0 0 0 
1.4 Tovs 6.662734 .054679 .345128 0 6.317606 1.000000 0 0 0 0 0 0 .013759 0 .013759 0 0 0 
1.45 Tovs 6.387746 .057082 .319001 0 6.068745 1.000000 0 0 0 0 0 0 .012139 0 .012139 0 0 0 
1.5 Tovs 7.345654 .062649 .370765 0 6.974889 1.000000 0 0 0 0 0 0 .014647 0 .014647 0 0 0 
